index,cut_out
49,大学 本质 合约安排 现代 企业理论 范式 关键词 大学本质 交易成本 中心签约人 合约安排 企业理论 市场 人类 接受 高等教育 方式 归纳 自给自足 师生 直接 交易 大学 教育 种 追问 师生 直接 交易 能够 解决 高等教育 还 大学 现代 企业理论 引入 大学 本质 大学 学生 教师 校长 行政 人员 合约安排 非营利 体制 变化 获得 如下 认识 一是 中心签约人 纯粹 市场 大学本质 能够 节约 交易成本 契约 组织 二是 大学 学生 签订 知识交易 不完全市场 合约 合约 履行 要求 大学 学生 拥有 剩余控制权 三是 大学 教师 人力资本 所有者 签订 要素市场 合约 终身教职制度 教师 间接 分享 大学 剩余收益 制度安排 终身教职 评审 制度 大学 教师 新形势下 合约 条款 动态调整 四是 大学 要素市场 合约 校长 行政 人员 内部化 目的 内部 管理成本 人力资本 工作 性质 教师 机会主义 克服 非营利 非 剩余 激励 制度 组合 五是 大学 节约 交易成本 内部 管理成本 随之 上升 二者 边际 相等 学校 规模 既定 大学 师生 直接 交易 替代 不是 无限 受 知识 特性 交易成本 规模 约束 综合 多种 组织化 教育 形式 大学 并存 突破 公共 教育体制 先验 视 大学 既定 天然 非营利性 组织 大学 外部 大学 特别 注重 大学 功能 理念 传统 深入 大学 内部 主体 互动 去 大学 经济 缘由 内部 多种 合约安排 证明 市场 大学 本质 理解 体制 大学 制度安排 逻辑 起点 获得 认识 澄清 高等教育 一些 模糊认识 寻找 大学 体制改革 应当 尊重 逻辑设计 大学 内部 具体 合约安排 都 启示 意义 营利性 组织 非营利性 组织 跨 组织 提供 新 
50,岭南 宏观经济学 研讨会 正为 宏观经济学 发展 宏观 经济学界 学术交流 岭南 宏观经济学 研讨会 中山大学 岭南大学 学院 中山大学 转型 开放经济 研究所 主办 管理 世界 杂志 协办 年月日 中山大学 举行 会议主题 货币政策 财政政策 宏观经济 效应 本届 研讨会 现 面向 国内外 宏观经济学 学者 征稿 中英文 限 欢迎 广大 学者 积极 投稿 报告 最新 
51,制度逃离 创新驱动 制度约束 民营企业 对外直接投资 关键词 制度逃离 创新驱动 对外直接投资 政治关联 民营企业 近年来 新兴经济体 企业 越来越 多地 进入 发达经济体 逆向 投资 这一 现象 主流 国际 商务 挑战 借助 制度逃离 现象 探究 制度因素 新兴经济体 企业 对外直接投资 转型时期 制度背景 正式制度 企业 文化 这一 非正式制度 企业 动因 制度 动因 企业 创新能力 动力 纳入 创业板 民营企业 验证 正式制度 非正式制度 约束 驱动 新兴经济体 企业 企业 政治关联 削弱 企业 制度约束 动力 企业 创新能力 制度约束 成功 开发 国际创业 机会 驱动力 拓展 深化 新兴经济体 企业 制度逃离 分析框架 民营企业 国际化 成长 战略 实践 意义 
52,第十三届 创业 家族企业 成长 国际 研讨会 创业 家族企业 成长 国际 研讨会 创办 已 成功 召开 次 大会 第十三届 创业 家族企业 成长 国际 研讨会 年月日 日于 广州 召开 本次 会议 中山大学 管理 学院 主办 浙江大学 管理 学院 管理 学会 创业 中小企业 专业 委员会 家族企业研究 中心 管理 世界 管理学 季刊 杂志 协办 会议 议题 会议 议题 限于 以下 创业 研究方法 创业 创新 家族企业 转型 传承 代际 
53,企业避税 债务融资 债务融资 来源 所得税 征管 体制改革 断点回归 关键词 企业避税 债务融资 正规金融 商业信用 断点回归 所得税 征管 体制改革 这一 自然实验 断点回归 分析方法 企业避税 变化 债务融资 企业避税 难度 企业 总体 负债率 上升 区分 债务融资 来源 企业避税 难度 并未 利息税 盾 效应 正规金融 融资 这一 支持 企业避税 非 债务税盾 效应 假说 开创性 不符 分析表明 企业避税 难度 利息税 盾 效应 商业信用 负债 这一 效应 融资约束 严重 企业 获取 正规金融 难度 较大 企业 民营企业 更为 明显 这一 支持 企业避税 现金流 效应 假说 企业避税 活动 债务融资 负相关 提供 更加 契合 制度背景 理论解释 通过考察 企业避税 财务 杠杆 供给侧结构性 改革 提供 决策 参考 
54,海外 子公司 角色 分类 管控方式 匹配 效应 一项 双层 案例 定性 比较分析 关键词 海外 子公司 角色 管控方式 差异化匹配 主导性 合作性 复杂 组织管控 难以 适用 某种 划一 理想 模式 已 共识 仍停留 权变 原理 层面 定性 比较分析 用于 跨 案例 比较分析 跨国企业 海外 子公司 角色 管控方式 匹配 构型 借鉴 动机 能力 机会 框架 海外 子公司 设立 动机 学习 能力 当地 环境 机会 三 维度 结合 角度 用以 系统分析 子公司 角色 整合性 框架 区分 执行者 当地 调适 重组 能力 重构 停滞 观察者 引领者 创新 平台 种 角色 类型 海外 子公司 角色 普遍性 分类 上以 主导性 合作性 两种 解释 企业 内部 跨 企业 两层 子公司 案例 比较 构型 具体 解释 类型 角色 管控方式 适配 效应 子公司 角色 分权 管控方式 差异化匹配 管控 模式 界定 细致 利于 子公司 稳定 丰富 拓展 海外 子公司 管理 复杂 组织 构型 发展 跨国企业 角色 分类 差异化 处理 母子公司 提供 实践 指导 
55,控股股东 股权质押 审计师 风险 应对 关键词 股权质押 控股股东 审计投入 审计收费 审计意见 以年 股 上市公司 控股股东 股权质押 审计师 风险 应对 控股股东 股权质押 公司 审计师 审计投入 收取 审计 费用 出具 非标准 无保留 审计意见 机制 检验 控制 股东 股权质押 增大 审计师 风险 审计 风险 审计师 上述 风险 应对 还 相对 非国有企业 审计师 控股股东 股权质押 风险 应对 国有企业 里 弱化 相对 非 国际 四大 会计师事务所 国际 四大 会计师事务所 控股股东 股权质押 风险 应对 更加 明显 体现 审计投入 收取 审计 费用 两个 丰富 控股股东 股权质押 经济后果 审计师 风险 应对 研究成果 结论 上市公司 监管部门 参考价值 
56,新三板 发展瓶颈 对策研究 关键词 新三板 发展瓶颈 政策供给 对策 新三板市场 大 扩容 发展瓶颈 优质 企业 不断 流失 融资 日益 困难 金融 诈骗 犯罪 与日俱增 定价功能 受限 制度设计 新三板 股 市场 估值 巨大 局面 基础性 原因 信息披露 真实性 难以 保证 打击 投资者信心 政府监管 制度建设 跟不上 新三板 新 形势 制约 市场发展 过高 投资者 门槛 直接 资金 供需平衡 建议 新三板 现有 分层 划分 精选 层 适当 投资者 门槛 改善 交易方式 建设 对接 股 转板 通道 举措 适当 估值 政府监管 尽快 出台 挂牌 企业 中介机构 各项 约束 惩罚 机制 信息披露质量 交易方式 针对性 改革 满足 市场发展 急切需要 
57,企业 管理 案例 质性 论坛 企业 管理 案例 质性 论坛 以下 简称 论坛 探索 提炼 中国特色 管理 推广 案例 质性 研究方法 最 学术 平台 中国人民大学 商学院 管理 世界 期刊 长期 合作 主办 双方 第十一次 携手 合作 月 第二个 周末 日 武汉 举办 论坛 本届 论坛 主题 双创 时代 管理 最佳 实践 论坛 面向 海内外 学者 征集 高质量 研究型 案例 质性 论文 要求 第一手 资料 为主 撰写 征文 范围 覆盖 工商管理 各学科 特别 欢迎 特色 本土企业 管理 实践 理 
58,海上运输通道 公共安全 保障 能力 结构 优化 关键词 海上运输通道 公共安全 保障 能力 结构要素 优化路径 海上运输通道 风险 威胁 日益 增多 决定 海上运输通道 公共安全 保障 迫切性 必要性 海上运输通道 风险 复杂 多样 使 很 难 从中 准确 识别 关键因素 海上运输通道 公共安全 保障 能力 优化 受阻 目前 海上运输通道 公共安全 保障 困难 挑战 系统性 系统安全 海上运输通道 公共安全 保障 能力 视为 系统对 海上运输通道 公共安全 保障 能力 结构 优化 公共安全 保障 顶层设计 搭建 海上运输通道 公共安全 保障 网络信息 平台 强化 公共资源 投入 加快 海洋 法规 制度建设 安全 保障 主体 多元 协同 机制 海洋 外交 力等个 优化 海上运输通道 公共安全 保障 能力 有效途径 
59,大数据 城市 应急管理 态势 挑战 展望 关键词 大数据 城市 应急管理 突发安全事件 大数据 技术 已经 进入 国内外 城市 应急管理 实践 之中 依然 视野 管理机制 平台 诸多方面 亟待 强化 大数据 进入 城市 应急管理 能力 效果 展望 大数据 城市 应急管理 未来 应当 从个 发展 城市 应急管理 大数据 深化 城市 应急管理 大数据 层次 城市 应急 管理机制 大数据 适应性 城市 应急管理 大数据 综合 平台 
60,婚姻匹配 代际流动 家庭模式 个税改革 关键词 婚姻匹配 代际流动 个税改革 家庭模式 微观 机理 婚姻匹配 代际流动性 个人所得税 改革 提供 理论依据 婚姻匹配 婚姻匹配 代际流动性 代际收入弹性 约 儿子 女儿 代际收入弹性 分别 约 代际流动性 偏低 父代 收入 子女 配偶 收入 十分 父媳 父婿 收入 弹性 分别 约 后者 高于 婚姻匹配 尤其 女性 代际 传递 机制 还 父代 收入 子代 配偶 受 教育 正向 说明 婚姻市场 教育 匹配 机制 代际 传递 渠道 政策 含义 婚姻匹配 家庭收入 分配 不平等 个税改革 家庭 收入差异 家庭 单位 税 征收 模式 缩小 家庭 收入差距 社会 收入不平等 居住地 税收 分享 原则 匹配 居民 纳税 义务 公共服务 供给 公共 教育支出 低收入 家庭 受 教育机会 缩小 家庭收入 能力 差距 
61,季度数据 比较 混合 动力 测试 关键词 季度 数据模型 平衡增长路径 论文 比较 使用 传统 季度数据 季度数据 如下 现有 低估 总体 物价水平 居民消费 周期性 较弱 投资 负相关 适合 论文 基准 混合 动力 虽能 拟合 二阶 距 特征 观测 误差 方差分解 显示 解释 大部分 产出波动 解释 力 较差 备选 不能 改善 分析表明 基准 没有 明显 误设 外 预测 显示 混合 动力 产出 预测 效果 比好 观测 预测 效果 欠佳 论文 认为 不佳 源于 两 粘性价格 机制 消费 投资 负相关 矛盾 平衡增长路径 假设 稳态 不定 矛盾 
62,发挥 区域 产业集群 专业市场 义乌 产业集群 专业市场 联动 升级 关键词 产业集群 专业市场 联动 升级 义乌 义乌 案例 创新性 产业集群 专业市场 联动 升级 指出 产业集群 升级 专业市场 升级 集群 网络 创新 营销 网络 创新 政府 扶持 共同 能够 区域经济 发展 上述 区域经济发展 提供 新 思路 
63,企业 内部控制质量 上市 公司经营绩效 制造业 上市公司 实证研究 关键词 内部控制质量 经营绩效 上市公司 实证研究 企业 内部控制质量 上市 公司经营绩效 机理 制度安排 角度 寻找 上市 公司经营绩效 企业 内部控制 机制 企业 内部控制质量 提供 理论指导 发展 方向 实证 提供 产权制度 企业 内部控制质量 上市 公司经营绩效 深入 证据 企业 内部控制 制度建设 提供 施政 依据 
64,中小 股东投票权 公司 决策 公司治理 来自 一项 自然试验 证据 关键词 中小股东 网络投票 自然试验 公司治理 盈余管理 深交所 自然试验 中小股东 参与 公司治理 是否 公司 盈余 尝试 回答 以下 中小股东 参与 公司治理 扮演 何种 角色 公司 中小股东 参与 扮演 外部监督 角色 管理层 带来 压力 扭曲 公司 中小股东 参与度 公司 倾向 操纵 盈余 滞后 回归 回归 控制 内生性 结论 不变 企业 融资 内部 交易 需求 信息不对称 程度较高 投资者 整体 教育水平 低时 公司 可能 操纵 盈余 迎合 中小股东 结论 明晰 政策 含义 赋予 中小投资者 参与 公司治理 权利 必须 投资者保护 可能 引致 适得其反 效果 
65,家族 成员 董事会 角色 家族 非执行董事 关键词 家族企业 非执行董事 治理 家族企业 家族 成员 担任 非执行董事 治理 效果 家族 非执行董事 能够 监督 高管 投资效率 更好 会计业绩 家族 执行 董事 具备 上述 治理 家族 持股比例 非 家族 成员 担任 家族 非执行董事 治理 效果 更能 突显 机构 持股比例 低时 家族 非执行董事 治理 更强 合理安排 非执行董事 比例 有利于 董事会 效率 尤其 家族企业 家族 成员 担任 非执行董事 有利于 家族企业 长期 稳定 发展 
66,企业社会责任 多元 属性 机制 关键词 企业社会责任 规则体系 激励机制 程序保障 企业社会责任 当今 人类 社会 思潮 正在 全球 范围 内 客观 实践 企业社会责任 道德 义务 法律责任 多元 属性 自我 承诺 行业 准则 强制 规范 多种形式 应当 企业社会责任 多元 治理机制 公司法 为主 干 企业社会责任 规制 体系 政府 主导 激励约束机制 司法 救济 中心 程序 保障机制 协同 企业社会责任 
67,价格 刚性 异质性预期 通货膨胀动态 关键词 粘性信息 粘性价格 双粘性 混合新凯恩斯 异质性预期 处理 宏观 沿用 一文 使用 两步 法 市场环境 企业 粘性 特征 粘性信息 粘性价格 都 充分体现 参数估计 脉冲响应 双粘性 有别于 混合新凯恩斯 双粘性 企业 调价 频率 平均 为个 季度 最新 信息 定价 频率 平均 季度 混合新凯恩斯 企业 前瞻 理性预期 比重 顾 适应性预期 占 双粘性 混合新凯恩斯 拟合 优度 难分伯仲 倾向 匹配 后者 意味着 诸如 最优货币政策 仍 选择 混合新凯恩斯 
68,高管 人 先天 特征 市场 中起 关键词 长相 语音 市场 路演 目前 高管 特征 仅 个人 生活 经历 工作 经历 后天 缺乏 高管 先天 特征 创业板 公司 网上 路演 推介 高管 研究对象 检验 高管 长相 语音 市场 投资者 偏好 高管 长相 好 公司 公司 高管 长相 好 申购 中签率 首日 换手率 低高管 长相 市场 美貌 溢价 高管 长相 好 公司 折价率 高管 长相 较差 公司 无 结论 市场 高管 低音 偏好 具体表现 高管 语音 音量 越低 热度 越高 折价率 声音 低沉 高管 管理 公司价值 对比 语音 特征 长相 特征 稳定 机器学习 获取 客观 高管 特征 后天 塑造 角度 拓展 先天 遗传 先天 特征 公司财务 提供 直接 证据 
69,能源安全 页岩气 产业 绿色 发展路径 保障 政策 关键词 能源安全 页岩气 绿色发展 水力 压裂 增产 水平井 技术 帮助 美国 能源 独立 战略 保障 能源安全 伴随 资源 消耗 温室气体排放 地下水 污染 一系列 环境 风险 国家 大力 生态文明建设 背景 页岩气 开发 不能 再 走 先 污染 治理 老路子 想要 金山 银山 青山绿水 必须 生产 污染 找到 平衡点 页岩气 开发 必须 走 绿色发展 道路 页岩气 资源 国家 能源安全 控制 页岩气 资源开发 环境 风险 页岩气 产业 绿色 发展路径 
70,进口 农产品贸易 耕地规模 传导效应 实证研究 关键词 农产品 进口贸易 耕地规模 传导效应 合成 模型分析 进口 农产品贸易 耕地规模 价格 间接 传导效应 多元 长期 短期 国内 农产品 期货价格 进口 农产品 量 人口增长 耕地规模 长期 多元 波动 相互作用 呈现 传导效应 以期 市场 定价 价补 分离 改革 深入 进口 农产品贸易 耕地规模 趋势 探讨 
71,政府支持 自组织 深圳 食品安全 社会共治 案例研究 关键词 自组织 政府支持 食品安全 社会共治 案例研究 现有 自组织 强调 外 权威 介入 尽量避免 介入 食品安全 治理 复杂性 政府 介入 自组织 不可避免 既有 政府 介入 自组织 缺乏 深入探讨 深圳 食品安全 监管部门 行业协会 会员 企业 单一 监管体制 社会共治 模式 转型 案例研究 外 权威 介入 成功 自组织 获取 社会资本 组织学习 规则 谈判 干中学 关键环节 政府 介入 直接 支持 间接 支持 获取 社会资本 干中学 两个 关键环节 政府 有所为 直接 支持 组织学习 规则 谈判 两个 关键环节 政府 有所不为 间接 支持 治理 意识 策略 转型 构成 政府支持 自组织 前提 政府 自组织 相互作用 构成 政府支持 自组织 逻辑 政府 介入 尽量避免 介入 自组织 机制 相比 政府支持 自组织 组织 创新 风险管理 平衡 机制 介于 类型 自组织 组织 新型 自组织 理论框架 权威 是否 介入 自组织 可能 取得成功 结论 社会性 规制 自组织 实践 启示 指导 价值 
72,美国 医疗保障制度 公平性 效率性 演变 关键词 美国 医疗保障制度 公平性 效率性 公平性 效率性 演变 来看 美国 医疗保障制度 历经 各届 政府 改革 政策 导向 大致 分为 强调 公平性 重视 效率性 兼顾 公平性 效率性 阶段 公平性 效率性 变化 每个 阶段 侧重点 美国 医疗保障制度 政策 导向 历史 轨迹 有助于 全面 认识 理解 新一届 美国政府 执政 理念 
73,城市规模 技能差异 劳动者 工资收入 关键词 城市规模 劳动收入 技能差异 人力资本 技能差异 角度 较为 全面 城市规模 劳动者 工资收入 城市 总体 工资溢价 回归 结果显示 大城市 劳动力 正向 技能 选择性 仍 很大 不能 解释 大城市 工资溢价 控制 城市 个体 质量 行业 地区 特征 名义 收入 调整法 技能 劳动力 享受 大城市 工资溢价 结论 改变 度量 内生性 情形 仍然 稳健 技能 劳动力 获取 大城市 工资溢价 途径 仅 中等 技能 劳动力 工资溢价 来源于 大城市 物价 高低 技能 劳动力 工资溢价 来自 劳动力质量 大城市 集聚经济 效应 具体表现 大城市 两条 途径 高技能劳动力 正规教育 再 投资 工作 经验 回报率 流动 投资 技能 劳动力 工作 经验 回报率 流动 投资 加快 城镇化 进程 缩小 城市 技能工资差距 大力 投资 人力资本 提供 支持 
74,物流 产业 区域经济 长期关系 关键词 物流业产值 货运周转量 选取 国内生产总值 经济指标 物流业产值 货运周转量 物流 模型分析 东部地区 中西部地区 物流业 区域经济发展 长期关系 东部 中西部地区 国内生产总值 物流业产值 货运周转量 是非 平稳 一阶 单整 序列 相互间 协整关系 长期关系 物流业 发展 经济增长 二者 同方向 变化 东部地区 货运周转量 物流业产值 相比 国内生产总值 较大 中西部地区 货运周转量 物流业产值 国内生产总值 差别 不大 
75,第二个 一百年 目标 多高 增速 关键词 两个 一百年 现代化 人均 赶超 两个 一百年 奋斗目标 中华民族 伟大 复兴 梦 核心 第一个 百年 目标 第二个 百年 目标 正在 途中 做好 中长期 发展 规划 迫切需要 第二个 百年 目标 量化 国际比较 测算 人均 有望 达到 美国 以上 国际 位次 超过 西班牙 韩国 以色列 意大利 欧盟 平均水平 相当 有望 达到 中等 发达国家 为此 年均 增速 需 保持 以上 
76,国有企业 混合所有制 改革 动力 阻力 实现路径 关键词 国有企业 混合所有制 改革 动力 阻力 实现路径 发展 混合所有制 现阶段 国有企业改革 内容 关键 突破口 改革 动力 阻力 明晰 实现路径 有助于 改革 顺利 认为 国有企业 混合所有制 改革 动力 在于 经济绩效 改善 企业治理 社会稳定 发展 改革 阻力 来自 既得利益者 阻碍 落后 激励机制 制约 意识形态 固化 公众 变革 担忧 应多 方式 混合所有制 改革 加大 国有资产 经营机制 改革 力度 切实加强 各类 产权 法律保护 维护 公众 利益 
77,政府质量 公司治理结构 投资决策 世界银行 企业调查数据 经验研究 关键词 政府质量 公司治理结构 投资决策 动态能力 异质性 投资 有利于 国家 地区 经济 高速 增长 有助于 企业 竞争优势 获取 机制 动态能力 适应 复杂多变 环境 使用 世界银行 分层抽样 企业调查数据 探讨 政府质量 公司治理结构 企业 投资决策 第一 政府质量 企业 投资 正向 企业 所在地 政府质量 越高 企业 净利润 用于 投资 活动 比例 越高 第二 企业 投资决策 不仅仅 依赖于 政府质量 公司治理结构 单独 依赖于 政府质量 公司治理结构 企业 投资决策 互动 既定 政府质量 企业 倾向 两权分离 公司治理结构 发展 时越 能够 激发 企业 投资 能力 投资意愿 结论 拓展 政府质量 公司治理结构 企业投资 认识 企业 投资 之帆 政府质量 之风 更加 强健 有力 才能 顺利 乘风破浪 公司治理结构 帆船 前进 调节 工具 这为 经济新常态 企业投资 保持 经济 长期 稳定增长 提供 政策启示 
78,创业企业 联结组合 绩效 结构 资源 互动 案例研究 关键词 创业企业 联结组合 联合依赖 非对称依赖 资源组合 资源 约束条件 适宜 联结组合 使 创业者 组合 带来 资源 组合效应 获益 收获 成长 已有 大多 拘泥于 探讨 联结组合 结构特征 绩效 直接 未能 资源组合 角度 挖掘 联结组合 结构 绩效 内在 机理 资源 依赖 联合依赖 非对称依赖 双重 建构 联结组合 结构 资源 绩效 机制 嵌入式 单 案例研究 克服 初创期 较弱 联合依赖 非对称依赖 青春期 创业企业 追加 式 资源组合 增强 联合依赖 创业 企业绩效 青春期 成长期 创业企业 互补式 追加 式 并举 资源组合 非对称依赖 创业 企业绩效 成长期 发展期 创业企业 大 范围 互补式 资源组合 替代 追加 式 资源组合 两种 依赖 创业 企业绩效 最高 
79,发挥 好 财务信息 破解 僵尸企业 难题 关键词 僵尸企业 财务信息 会计准则 银行 政府 监管部门 缺乏 充分 准确 财务信息 决策依据 僵尸企业 原因 财务信息 应当 识别 处置 僵尸企业 发挥作用 尤其 僵尸企业 处于 持续 经营 濒临破产 过渡 性质 偿债能力 评估 破产 之后 出现 职工 补偿金 新增 负债 长期 来看 僵尸企业 防范 机制 充分 财务信息 多方 主体 提供 决策依据 必要 现有 会计准则 核算 披露 规则 加以 优化 破解 僵尸企业 提供 支撑 
80,宏观审慎政策 规则 确立 传导 路径 内生 银行破产 机制 关键词 宏观审慎政策 系统性风险 金融稳定 金融危机 爆发 以来 传统 金融监管 方式 难以为继 世界 各国 纷纷 监管 改革 背景 宏观审慎政策 政策 制定者 学者 焦点 内生 银行破产 机制 银行业 系统性风险 刻画 而后 经典 福利损失 函数 引入 系统性风险 确立 宏观审慎政策 规则 脉冲响应函数 模拟 演绎 传导 路径 政策 搭配 如下 结论 第一 动态 资本充足率 贷款价值比 核心 宏观审慎监管 体系 产出缺口 信贷 量 信号源 宏观审慎 货币政策规则 中应 盯住 信贷 量 资本 资产价格 适合 参考 第二 宏观审慎 货币政策 宏观审慎监管 都 维护 金融稳定 常备 政策 宏观审慎监管 优于 宏观审慎 货币政策 第三 识别 经济 周期波动 驱动因素 确立 宏观审慎政策 规则 使 政策 传导 实体经济 发挥 风险防控 根本 第四 联合 使用 两类 宏观审慎政策 合理 确立 政策规则 系数 增强 政策 正向 外溢 效果 政策 搭配 强度 却 不易 控为 防止 政策 错 搭 引起 效果 干扰 常规 时段 仅 宏观审慎监管 风险 高时 再 联合 使用 两类 政策 金融稳定 
81,第七届 蒋一苇 企业 改革与发展 学术 基金 奖 评奖 公告 蒋一苇 企业 改革与发展 学术 基金 奖由 中国社会科学院 工业经济 研究所 发起 设立 秉承 科学 公正 原则 倡导 独立 开创 旨在 繁荣 管理学 学术研究 企业改革 管理 实践 发展 第七届 蒋一苇 企业 改革与发展 学术 基金 奖由 中国社会科学院 工业经济 研究所 企业 管理 研究会 工业经济 杂志社 
82,第届 世界 管理 论坛 暨 东方 管理 论坛 第届 世界 管理 论坛 暨 东方 管理 论坛 年月日 日 上海交通大学 召开 本次 论坛 世界 管理 学者 联盟 委员会 上海 管理 教育 学会 主办 管理 世界 杂志 协办 上海交通大学 东方 管理 中心 上海 慧圣 咨询 公司 承办 论坛 主题 多元 包容 东方 管理学 新 发展 大会 议题 论文 征集 范围 管理 思想 东方 管理 流派 东西方 管理 教育 管理 实践 
83,医院 综合绩效评价 关键词 绩效评价 修正 优化 对以 资源 相对 价值 系数 法 理顺 操作 流程 体系 优势 不足 探讨 此基础 修订 绩效管理 适用性 强能 兼顾 工作量 质量 收益 符合 医院 管理 目标 综合绩效评价 体系 
84,劳动力流动 农村 社会治安 模型与实证 关键词 农村 劳动力流动 民事纠纷 治安条例 刑事犯罪 中国农村 固定 跟踪 观察点 村级 劳动力流动 农村 社会治安 劳动力流动 特别 劳动力 流入 农村 民事纠纷 违反 治安条例 刑事案件 有着 正向 显著性 相对 内陆地区 劳动力流动 沿海地区 更为 明显 贫困 发生率 劳动力 受 教育 劳动力 闲置 基层 村干部 数量 农村 社会治安 不容忽视 流入 劳动力 监管 农村基层 组织 建设 减少 农村贫困 群体 维持 农村 秩序 至关重要 
85,随机森林 企业 监管 关键词 市场监管 风险识别 机器学习 随机森林 市场 监管部门 监管 效果 执法 效率 大数据 技术 机器学习 工具 各类 市场主体 违规 违法 风险 识别 监管 路径 探索 大数据 手段 辅助 市场监管 维护 市场竞争 秩序 北京市 万家 企业 随机森林 优化 市场监管 工作 相结合 极大 市场 监管效率 
86,凝结 中国智慧 马克思主义 政治经济学 党 十八 大 以来 经济 理论创新 关键词 马克思主义 政治经济学 理论创新 党 十八 大 以来 习近平 核心 党中央 经济社会 发展 理念 政策 路线 实践 全方位 探索 经济 学者 与时俱进 深入 共同 凝聚 中国特色 经济理论 创新 发展 理论创新 简单 概括 为个 经济新常态 初级阶段 新 五大发展理念 发展经济学 新进展 国家治理 体系 治理能力 现代化 体现 国家治理 新 突破 十八 大 以来 经济 理论创新 创造 马克思主义 政治经济学 新 范式 谱写 现代 经济 理论发展 新篇章 凝结 中国智慧 马克思主义 政治经济学 经济学界 理论创新 注意 一是 扎实 正面 回应 外部 关切 学术 批评 二是 中国模式 不宜 操之过急 三是 更加 重视 基础理论 四是 支持 健康 学术争论 学术 批评 
87,补贴 减少 粮食 生产效率损失 动态资产贫困 关键词 农业补贴 粮食安全 效率损失 动态资产贫困 动态资产贫困 使用 全国 农村 固定 观察点 微观数据 最新 技术 模型分析 河南省 小麦 生产效率损失 使用 选择 农业补贴 小麦 生产效率损失 工具变量 多种 估计方法 稳健性检验 得出 河南省 小麦 生产效率 逐年 损失 仍然 严重 农业补贴 促使 受限于 资产 贫困 农户 选择 生产效率 生产方式 减少 粮食 生产效率损失 农业补贴 小麦 生产 至关重要 粮食 直补 政策 小麦 生产效率损失 起到 积极 良种 补贴 有利于 减少 播种面积 为亩 农户 小麦 生产效率损失 农资 补贴 播种面积 大于 亩 农户 来说 更为 对此 对策建议 
88,如虎添翼 燕巢危幕 承销商 大客户 公司债 发行定价 关键词 大客户 公司债 发行定价 承销商 探讨 大客户 公司债 发行定价 承销商 调节效应 第一 大客户 销售 占 公司债 发行 价差 这一 结论 控制 内生性 依然 成立 说明 大客户 公司债 发行定价 风险 效应 效应 体现 承销商 市场 排名 承销 费率 高非 承销团 承销 承销商 分类 评级 承销商 承销 组 说明 承销商 声誉 大客户 公司债 发行定价 风险 效应 分析表明 第一 大客户 非政府 背景 企业 同一 省份 稳定 债券 无担保 信用评级 筹资 用于 偿还债务 货币政策 紧缩 经济增长 较慢 大客户 公司债 发行定价 风险 效应 强本 有助于 丰富 客户 债券定价 
89,环境因素 过度自信 投资绩效 关键词 投资绩效 过度自信 信息 强度 技术 波动 竞争 强度 很 早就 出现 绩效 先前 没有 回答 环境 投资绩效 更为 有利 全部 上市公司 阶梯 队 整合 解释 过度自信 投资 公司绩效 过度自信 投资 公司绩效 调节效应 受 环境因素 实证研究 过度自信 投资 公司绩效 正向 调节效应 特别是在 信息 强度 高技术 波动 竞争 强度 环境 过度自信 投资 公司绩效 调节效应 更为 积极 过度自信 投资 公司绩效 有利 同样 边界 信息 强度 环境 技术 波动 环境 有利 变得 消极 拓展 绩效 过度自信 
90,新经济 时代 家族企业 转型 发展 第十二届 创业 家族企业 国际 研讨会 侧记 关键词 家族企业 经济转型 基业 长青 制度环境 代际 创业 家族企业 共同体 扩展 家族企业研究 前提 一致 化 独特 化 情境 化 多样化 国际化 特点 第十二届 创业 家族企业 国际 研讨会 交流 研究成果 综述 展现 家族企业研究 以下 议题 取得 新进展 家族企业 基业 长青 关键因素 家族 企业异质性 战略 背后 家族 动因 引发 家族企业 制度 要素 家族企业 传承 代际 创业 路径 研讨会 打造 家族企业 持续 健康成长 智慧 百花园 做出 积极 贡献 
91,创业生态系统 知识 前沿 重点 关键词 创业生态系统 企业家精神 区域创新系统 文献计量分析 创业生态系统 已 创业 新 范式 日益 强调 创业 中多 要素 主体 相互依存 只 个人 创业 由此 弥补 区域创新系统 解决 市场失灵 政府干预 双重 局限 企业家精神 处于 创业生态系统 核心 地位 政府 传统 主导者 转换 守门员 区域 创业 政策 应对 创业 厚此薄彼 致力于 生态系统 框架 创建 优化 激发 企业家精神 创业 经济 蓬勃发展 
